Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Type,Item_Identifier_DR,Item_Identifier_FD,Item_Identifier_NC,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Item_Outlet_Sales
16.6,0.135620265,7,172.9422,1,34,1,1,0,0,1,0,1,0,0,0,0,1,1
15.2,0.031860325,13,235.1248,0,23,0,0,1,0,1,0,0,0,1,0,0,1,0
6.865,0.013990601,14,127.6652,6,17,1,1,0,0,1,0,0,0,1,0,1,0,1
16.85,0.139417654,13,147.476,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
7.325,0.156307983,6,92.2146,0,23,0,0,1,0,1,0,0,0,1,0,0,1,0
18.2,0.090084098,6,197.211,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
7.39,0.120770963,11,143.447,3,12,2,0,0,1,1,0,0,1,0,0,0,1,1
18.25,0.075311837,13,122.6046,9,22,1,0,1,0,1,0,0,1,0,1,0,0,1
17,0.015997687,13,229.1352,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
12.35,0.185704641,0,77.1328,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
12.1,0.040357315,6,177.8002,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
15.35,0.096790497,14,197.2768,3,12,2,1,0,0,1,0,0,1,0,0,0,1,1
16.35,0.034742632,9,127.402,7,19,1,0,0,1,1,0,0,0,1,0,1,0,0
19,0.026986367,9,127.1336,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
15.3,0.084937098,3,214.0218,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
20.7,0.048718334,6,38.7506,1,34,1,0,1,0,1,0,1,0,0,0,0,1,0
17.75,0.111301625,11,107.5912,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
8.895,0.126287542,7,235.5616,0,23,0,1,0,0,1,0,0,0,1,0,0,1,0
9.895,0.048738014,5,262.1278,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
13,0.03525175,9,48.0034,3,12,2,0,0,1,1,0,0,1,0,0,0,1,0
9.5,0.074648119,13,253.3724,3,12,2,0,1,0,1,0,0,1,0,0,0,1,0
12.15,0.042277867,3,126.5046,1,34,1,0,1,0,0,1,1,0,0,0,0,1,0
15.5,0.101335811,6,196.5768,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
11.6,0.077321087,5,169.3106,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
16.5,0.079837509,6,102.1332,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
17.75,0.03050705,11,180.366,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
18.25,0.079342006,5,226.0062,9,22,1,0,1,0,1,0,0,1,0,1,0,0,1
8.68,0.008835694,5,96.5384,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
6.78,0.053930934,0,95.012,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
17.2,0.012002075,3,165.3184,1,34,1,0,1,0,0,1,1,0,0,0,0,1,0
11.8,0.094185483,13,126.2704,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
14.15,0.024286378,6,194.711,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
9.6,0.035579135,13,244.417,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
15.5,0.15028599,5,51.0692,4,36,0,0,1,0,0,1,0,0,1,1,0,0,0
10.1,0.046545786,7,59.9878,1,34,1,1,0,0,1,0,1,0,0,0,0,1,0
20.2,0.117599259,0,195.311,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
14.5,0.102999154,6,169.9448,4,36,0,0,1,0,0,1,0,0,1,1,0,0,0
8.93,0.049754975,4,152.134,4,36,0,1,0,0,1,0,0,0,1,1,0,0,0
6.655,0.016876708,6,210.0586,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
14.65,0.120624771,9,261.7594,0,23,0,0,0,1,1,0,0,0,1,0,0,1,0
19.7,0.053930934,0,197.911,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
14.6,0.150872868,14,47.5692,7,19,1,1,0,0,1,0,0,0,1,0,1,0,1
6.405,0.136275173,13,128.1678,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
8.985,0.32111501,6,100.77,4,36,0,0,1,0,1,0,0,0,1,1,0,0,0
14.1,0.126292985,6,88.6198,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
13.85,0.030920531,14,141.0154,3,12,2,1,0,0,1,0,0,1,0,0,0,1,1
7.97,0.053930934,12,109.4596,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
9.5,0.035350045,6,169.7448,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
15.85,0.078174543,3,39.9506,5,36,3,0,1,0,1,0,0,1,0,0,0,1,0
14.35,0.080922439,0,80.096,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
19.85,0.034942397,13,61.9194,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0
15,0.054599767,3,59.4904,3,12,2,0,1,0,0,1,0,1,0,0,0,1,0
17.25,0.107021498,5,40.5822,6,17,1,0,1,0,1,0,0,0,1,0,1,0,0
19.5,0.027214272,3,159.692,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
8.895,0.07204818,2,177.937,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
7.035,0.021849398,5,262.091,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
7.785,0.088846306,6,61.451,9,22,1,0,1,0,1,0,0,1,0,1,0,0,0
17.6,0.047330801,13,120.8782,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
7.02,0.080771137,6,146.4734,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
15.6,0.044122209,13,173.8054,4,36,0,0,1,0,1,0,0,0,1,1,0,0,0
10,0.025702129,3,262.6226,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
7.905,0.06406438,7,229.2694,8,24,1,1,0,0,1,0,0,0,1,1,0,0,1
20.7,0.043011277,4,177.2028,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
19.1,0.096929994,6,233.8958,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
18.35,0.094218363,6,83.9882,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
12.15,0.018321361,5,255.3698,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
16.5,0.133424184,6,102.2332,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0
10.195,0.012458143,10,196.311,8,24,1,0,1,0,0,1,0,0,1,1,0,0,0
11,0.087421738,5,154.463,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
8.1,0.128011859,6,210.9902,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
17.6,0.015687045,9,182.6976,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
11.15,0.105471384,0,105.8648,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
6.65,0.08816538,6,126.8678,2,14,1,0,1,0,1,0,0,0,1,0,1,0,1
7.64,0.070704474,13,93.412,8,24,1,0,1,0,0,1,0,0,1,1,0,0,1
8.39,0.024205661,5,114.0176,8,24,1,0,1,0,0,1,0,0,1,1,0,0,1
8.02,0.186528819,13,151.9998,0,23,0,0,1,0,1,0,0,0,1,0,0,1,0
16.1,0.04807227,5,126.5362,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
11.8,0.014166739,5,178.2344,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
5.765,0.143592939,0,37.3164,4,36,0,0,1,0,1,0,0,0,1,1,0,0,0
17.2,0.156298858,10,162.1578,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
9.1,0.136695145,1,173.4054,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0
8.21,0.018847114,7,148.0392,4,36,0,1,0,0,1,0,0,0,1,1,0,0,0
6.135,0.079094835,14,114.386,9,22,1,1,0,0,1,0,0,1,0,1,0,0,1
7.825,0.150015234,5,157.5288,8,24,1,0,1,0,0,1,0,0,1,1,0,0,0
15.7,0.073816097,0,253.4724,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
17.7,0.226122963,15,185.7924,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0
10.895,0.021037197,8,255.9672,3,12,2,0,0,1,1,0,0,1,0,0,0,1,1
19.5,0.030688557,3,85.754,6,17,1,0,1,0,0,1,0,0,1,0,1,0,1
15.5,0.025409912,0,83.2934,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
17.25,0.113748685,9,251.3724,7,19,1,0,0,1,1,0,0,0,1,0,1,0,1
6.67,0.122830885,13,86.9514,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
7.3,0.086266286,5,147.2076,9,22,1,0,1,0,1,0,0,1,0,1,0,0,1
19.35,0.065507999,10,168.9816,6,17,1,0,1,0,0,1,0,0,1,0,1,0,1
7.39,0.093307713,9,250.9066,2,14,1,0,0,1,1,0,0,0,1,0,1,0,1
10.3,0.024776026,0,172.3422,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
14,0.031444357,3,53.764,2,14,1,0,1,0,0,1,0,0,1,0,1,0,0
17.75,0.014609738,6,160.4262,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
20.75,0.024032484,6,124.973,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
12.15,0.006754117,11,122.173,1,34,1,0,0,1,1,0,1,0,0,0,0,1,1
12.35,0.026735372,3,57.4246,7,19,1,0,1,0,1,0,0,0,1,0,1,0,0
8.3,0.038367194,4,87.1198,3,12,2,0,1,0,0,1,0,1,0,0,0,1,0
16.7,0.061122656,0,100.0384,3,12,2,0,1,0,0,1,0,1,0,0,0,1,1
8.775,0.109911272,4,41.9428,8,24,1,1,0,0,1,0,0,0,1,1,0,0,1
7.55,0.030918873,6,123.9072,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
13.1,0.098938169,5,195.7768,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
10.195,0.112681821,7,113.986,3,12,2,1,0,0,1,0,0,1,0,0,0,1,0
18.85,0.016104504,8,130.2626,6,17,1,0,0,1,1,0,0,0,1,0,1,0,1
10.895,0.009613854,4,122.973,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
9.5,0.053930934,7,190.9872,7,19,1,1,0,0,1,0,0,0,1,0,1,0,1
9.8,0.047178116,0,99.4016,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
10.8,0.042102658,8,189.7214,2,14,1,0,0,1,1,0,0,0,1,0,1,0,1
9.1,0.008027701,5,81.1618,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
7.21,0.144924795,13,100.8332,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
6.215,0.012198395,6,37.4848,3,12,2,0,1,0,1,0,0,1,0,0,0,1,0
20.75,0.007551665,13,107.1622,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
19.1,0.025872153,6,145.7418,8,24,1,0,1,0,0,1,0,0,1,1,0,0,0
19.6,0.023951149,9,105.6964,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
8.63,0.028320655,3,172.5422,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
14.8,0.032606181,8,193.5794,0,23,0,0,0,1,1,0,0,0,1,0,0,1,0
12.85,0.053930934,15,253.004,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
14,0.041283361,15,182.4634,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
11.5,0.046217345,13,120.3124,7,19,1,0,1,0,1,0,0,0,1,0,1,0,0
6.71,0.029727657,0,66.6142,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
14.5,0.072221801,3,43.6454,4,36,0,0,1,0,0,1,0,0,1,1,0,0,0
14.5,0.214681063,0,102.7332,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0
5.98,0.075675438,7,53.3614,9,22,1,1,0,0,1,0,0,1,0,1,0,0,0
20.2,0.099428487,9,187.8898,5,36,3,0,0,1,1,0,0,1,0,0,0,1,1
12.6,0.049058014,1,62.7194,2,14,1,0,1,0,1,0,0,0,1,0,1,0,0
9.195,0.064143995,5,85.9566,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
12.8,0.076369874,6,97.241,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
20.5,0.040520754,11,153.934,4,36,0,0,0,1,1,0,0,0,1,1,0,0,0
20.2,0.121254236,13,94.5752,8,24,1,0,1,0,0,1,0,0,1,1,0,0,1
8.895,0.105323859,4,39.1138,7,19,1,1,0,0,1,0,0,0,1,0,1,0,0
11.65,0.059063036,0,172.0422,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
15.6,0.078764059,4,241.3854,4,36,0,0,1,0,1,0,0,0,1,1,0,0,0
7.935,0.017253305,4,51.435,2,14,1,0,1,0,1,0,0,0,1,0,1,0,0
20.35,0.053795154,13,117.7466,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
8.06,0.035780177,2,230.2326,0,23,0,0,1,0,1,0,0,0,1,0,0,1,0
9.035,0.172629683,10,148.4708,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
16.6,0.046161923,9,176.6344,0,23,0,0,0,1,1,0,0,0,1,0,0,1,0
16.25,0.152632413,4,98.441,4,36,0,0,1,0,1,0,0,0,1,1,0,0,0
12.35,0.026722744,3,59.2246,9,22,1,0,1,0,1,0,0,1,0,1,0,0,0
14.5,0.019459164,11,161.621,1,34,1,0,0,1,1,0,1,0,0,0,0,1,1
13.1,0.075731322,4,167.5158,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
7.05,0.085138334,13,108.6912,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
14.8,0.076851759,1,111.857,4,36,0,0,1,0,0,1,0,0,1,1,0,0,0
8.1,0.133673087,3,41.548,5,36,3,0,1,0,0,1,0,1,0,0,0,1,0
6.15,0.046459438,0,100.5384,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
13.65,0.080573371,5,260.1936,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
13.35,0.149669322,13,180.266,7,19,1,0,1,0,0,1,0,0,1,0,1,0,0
10.5,0.025041738,6,218.7508,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
7.865,0.061405051,2,166.3526,2,14,1,0,1,0,1,0,0,0,1,0,1,0,1
12.85,0.169139066,5,46.406,3,12,2,0,1,0,1,0,0,1,0,0,0,1,0
20.25,0.014823358,4,190.7162,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
5.15,0.061165512,10,125.6388,6,17,1,0,1,0,0,1,0,0,1,0,1,0,1
13.6,0.117537563,13,195.4136,1,34,1,0,1,0,1,0,1,0,0,0,0,1,1
9,0.086088353,13,168.7816,9,22,1,0,1,0,1,0,0,1,0,1,0,0,1
6.365,0.007363189,5,63.2536,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
13.5,0.053930934,0,84.654,9,22,1,0,1,0,1,0,0,1,0,1,0,0,1
19.1,0.097127867,6,234.4958,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
18.25,0.012272797,6,160.2894,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
9.195,0.214139786,6,102.4016,4,36,0,0,1,0,0,1,0,0,1,1,0,0,0
9.895,0.048860587,5,260.2278,3,12,2,0,1,0,0,1,0,1,0,0,0,1,1
10.1,0.279783532,14,241.8512,0,23,0,1,0,0,1,0,0,0,1,0,0,1,0
14.5,0.058946687,6,168.6448,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
12.65,0.063146492,14,159.6578,3,12,2,1,0,0,1,0,0,1,0,0,0,1,0
15.7,0.027729547,3,169.379,3,12,2,0,1,0,0,1,0,1,0,0,0,1,1
15.1,0.164391573,6,62.8194,4,36,0,0,1,0,0,1,0,0,1,1,0,0,0
5.75,0.075322658,4,116.3176,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
12.65,0.047197936,11,114.1202,1,34,1,0,0,1,1,0,1,0,0,0,0,1,1
11.5,0.020611526,4,84.954,7,19,1,0,1,0,0,1,0,0,1,0,1,0,0
10.6,0.011106465,1,42.7454,9,22,1,0,1,0,1,0,0,1,0,1,0,0,0
6.635,0.046277956,5,36.7506,3,12,2,0,1,0,0,1,0,1,0,0,0,1,0
15.35,0.053930934,13,88.283,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
9.8,0.045522854,0,35.0874,2,14,1,0,1,0,0,1,0,0,1,0,1,0,0
7.84,0.154120252,3,51.935,3,12,2,0,1,0,0,1,0,1,0,0,0,1,0
16,0.077290355,6,44.5086,2,14,1,0,1,0,1,0,0,0,1,0,1,0,0
17.85,0.087963415,1,193.3794,2,14,1,0,1,0,1,0,0,0,1,0,1,0,1
12.65,0.035410748,0,231.401,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
9.6,0.006708517,9,164.6184,9,22,1,0,0,1,1,0,0,1,0,1,0,0,1
20.1,0.022460102,6,226.8036,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
13.35,0.053930934,13,238.7564,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
10.8,0.061446997,14,150.4024,2,14,1,1,0,0,1,0,0,0,1,0,1,0,1
15.2,0.112349962,14,39.1848,5,36,3,1,0,0,1,0,0,1,0,0,0,1,0
6.75,0.10821852,4,96.3752,6,17,1,0,1,0,0,1,0,0,1,0,1,0,1
16.25,0.049074897,6,154.2682,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
17.6,0.105042025,13,163.8868,9,22,1,0,1,0,1,0,0,1,0,1,0,0,1
8.31,0.115857223,13,179.1028,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
13.3,0.0713931,6,61.0536,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
19.35,0.026329989,6,169.2474,2,14,1,0,1,0,1,0,0,0,1,0,1,0,1
5.785,0.040587146,13,180.366,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
4.92,0.045955031,0,199.1084,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
14,0.136328794,5,54.864,3,12,2,0,1,0,0,1,0,1,0,0,0,1,0
13.85,0.0311868,11,39.548,5,36,3,0,0,1,1,0,0,1,0,0,0,1,0
12.65,0.076198809,5,191.3846,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
14.5,0.019471688,11,164.821,6,17,1,0,0,1,1,0,0,0,1,0,1,0,1
19.35,0.057762301,6,237.3564,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
7.235,0.076855628,9,116.0492,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
8.51,0.07802465,13,171.4422,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
12.6,0.062827447,5,105.099,7,19,1,0,1,0,0,1,0,0,1,0,1,0,1
7.21,0.144856342,13,100.5332,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
16.25,0.04506213,6,167.5474,4,36,0,0,1,0,1,0,0,0,1,1,0,0,1
7.72,0.05193741,6,77.9986,1,34,1,0,1,0,1,0,1,0,0,0,0,1,0
13.1,0.07494003,4,75.0354,8,24,1,0,1,0,1,0,0,0,1,1,0,0,0
8.71,0.071806046,3,186.5924,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
19.1,0.045492697,4,40.3138,3,12,2,1,0,0,1,0,0,1,0,0,0,1,0
12.5,0.062343432,0,199.7426,8,24,1,0,1,0,0,1,0,0,1,1,0,0,0
7.63,0.061409711,14,94.6436,2,14,1,1,0,0,1,0,0,0,1,0,1,0,1
11.85,0.049842613,6,164.2526,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
13.3,0.080257683,4,232.63,2,14,1,0,1,0,1,0,0,0,1,0,1,0,1
16.7,0.042610897,4,117.2782,6,17,1,0,1,0,0,1,0,0,1,0,1,0,0
16.25,0.057485328,6,126.2046,9,22,1,0,1,0,1,0,0,1,0,1,0,0,1
5.26,0.042008667,0,162.6868,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
5.635,0.103693024,0,149.905,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
13.1,0.020870744,4,117.3782,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
13.85,0.034624104,7,115.0492,9,22,1,1,0,0,1,0,0,1,0,1,0,0,1
11.85,0.222063351,4,99.6726,0,23,0,1,0,0,1,0,0,0,1,0,0,1,0
19.7,0.018024769,10,104.499,8,24,1,0,1,0,0,1,0,0,1,1,0,0,1
16.5,0.160624116,13,143.8128,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
14,0.029578726,4,143.5786,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
19.85,0.008762556,4,266.6884,0,23,0,0,1,0,1,0,0,0,1,0,0,1,0
20,0.081492092,11,35.519,7,19,1,0,0,1,1,0,0,0,1,0,1,0,1
6.03,0.0226994,4,176.4028,6,17,1,1,0,0,1,0,0,0,1,0,1,0,1
14,0.053930934,5,53.064,6,17,1,0,1,0,0,1,0,0,1,0,1,0,0
11.1,0.053930934,9,119.1124,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
11.8,0.113559058,14,184.2924,7,19,1,1,0,0,1,0,0,0,1,0,1,0,1
9.695,0.128176489,0,224.8404,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
